B_A,iteration,rho0,m_ratio,objective_value,K,E_sym
-16.5625,1,0.1496875,0.6375000000000001,-30000.0,389.1875,36.16875
-15.8625,2,0.1621875,0.7375,-10204.163156282159,294.6875,27.21875
-16.9125,3,0.16843750000000002,0.5875,-20432.301868130908,341.9375,31.69375
-16.2125,4,0.1559375,0.6875,-20294.90082515189,247.4375,40.64375
-16.7375,5,0.1528125,0.6625,-20356.292052142628,271.0625,42.88125
-16.0375,6,0.1653125,0.5625,-30000.0,365.5625,33.93125
-16.3875,7,0.1590625,0.7125,-10293.996653282453,223.8125,29.45625
-15.6875,8,0.14656249999999998,0.6125,-30000.0,318.3125,38.40625
-16.34375,9,0.14734375,0.68125,-10458.476717903664,300.59375,31.134375000000002
-15.643749999999999,10,0.15984375,0.58125,-30000.0,395.09375,40.084375
-15.635855373553424,11,0.15376316636741352,0.7426990625646506,-10337.578563614863,273.74739926053167,35.72481317410417
-16.861148588383287,12,0.16447214837637325,0.561962203113166,-30000.0,314.58566947619204,39.235178031285166
-16.833126617802847,13,0.1690876549815381,0.5732996280275668,-20347.594039815685,223.6472271395781,37.22298410534493
-16.350386806392148,14,0.15088283006697417,0.646233750160193,-20325.536805991927,279.63570564287454,33.89151272201384
-16.481765271406683,15,0.15329178884822312,0.6500409199786958,-20344.558738332315,319.46946795001895,33.34858692156262
-16.876247645235477,16,0.1456194411889778,0.5786842764819015,-30000.0,335.13610902293453,30.855023194309464
-16.068827351553804,17,0.16309829037284862,0.6997631015021322,-10492.821595082314,317.6363098314912,35.63954013267785
-16.954085727700313,18,0.15946294631024316,0.7361807166452059,-475.86448592740607,390.41987513753367,26.16961890404133
-16.670853249693916,19,0.15738154222559686,0.6626874907529736,-10364.364132905208,267.72146594857844,26.39630447934071
-16.671303891879287,20,0.16502548180850773,0.7017001366744433,-20325.062888847504,397.91594294804037,40.81990856741414
-16.50455878727095,21,0.16553178081833855,0.6899066416529294,-10339.786014268051,383.67652069130384,28.543087966559174
-16.245437714560914,22,0.15851947810585018,0.578405412271781,-20430.819348291283,312.85021965889854,28.13031158352074
-15.640822031489641,23,0.16381178601162416,0.6489476905538938,-20481.917706818072,307.0900913850975,37.77516643515676
-16.028530773554447,24,0.1495032957429893,0.5859786526971953,-30000.0,333.1841225261247,28.91837855602277
-16.576918099109832,25,0.1583363334159514,0.550162913360513,-30000.0,247.13244959046744,39.22933764194646
-16.278116583954482,26,0.15174525960387344,0.6680164848333179,-20244.558048226703,233.74712826332225,32.39601427792321
-15.75169381938771,27,0.14601545400633953,0.5571182863431426,-30000.0,327.745482482247,30.69917124623226
-16.942231537220096,28,0.16598242648506156,0.5925688396320359,-20339.751177892358,233.1272596783246,37.978748001817884
-16.870523542865715,29,0.14723080528179008,0.6657738161448856,-20270.335737380752,270.81826156533884,36.09656740488058
-15.87176133481628,30,0.1629775997806602,0.651843097842953,-20479.450423212045,331.71111435854453,37.022112532926734
-16.144124576302296,31,0.16624861987150807,0.7156314098848625,-10399.660346328485,234.38454727893472,37.510643483580864
-16.529883424056155,32,0.15588116911875805,0.6182095962579996,-20341.74242023158,303.8803130557853,29.870644341835657
-16.779941401873728,33,0.16243052138354264,0.5549152083547845,-30000.0,383.00938836726596,42.55598442430905
-16.718345197382565,34,0.15088531482274029,0.5945721571276723,-20437.230797180673,335.165871339181,29.999044507717407
-16.39209640078493,35,0.15185191224692396,0.6948380767217531,-20302.840010011627,301.208911439632,39.69243965100664
-16.56886553427324,36,0.16874162394179576,0.5980804484918081,-20324.94107459474,236.80792884912515,33.897331658564475
-16.224616530395693,37,0.14679328172427444,0.7201766658424698,-10341.520674532756,267.3947433660851,33.310141967825956
-16.417613185820272,38,0.16297601300156953,0.7316338925228424,-10400.258890729247,246.5523759744355,41.73607451540305
-16.187390955500728,39,0.1572274928454478,0.7313208684092567,-10269.452577656455,260.6167690449767,30.61969764586047
-15.819961116959705,40,0.1459367114899921,0.5859904404540263,-30000.0,246.08199937585937,41.44691732642342
-16.806674604782202,41,0.16457663600313013,0.6431962056282489,-20330.94017970229,300.43676413565515,36.115041842779604
-15.944692165311329,42,0.15256726233003143,0.6612023270047028,-10401.62504834585,229.32506459937838,26.292169058565086
-16.78882020140867,43,0.1493168336882269,0.7414916402698779,-10222.870738915135,261.12680884076605,31.08893653297931
-15.658695853447663,44,0.16325566529921326,0.7290116063664377,-10293.543192176814,236.50141025311174,29.067590703188593
-15.970454117522324,45,0.1532761334355036,0.6770334124135211,-10478.331473211498,265.9382461960889,31.651282701931265
-16.07143167869961,46,0.15677426706916228,0.6998138899545647,-10458.270088637993,331.6012806127116,33.236780826185765
-16.23072526263421,47,0.1536640009507015,0.5837643855180059,-30000.0,385.6063475231638,34.02824687783173
-16.303663862112096,48,0.15571078144444908,0.6884713116439516,-20312.311466940202,262.05949097160686,42.09701025021507
-16.88286720566038,49,0.16023974380201128,0.6469637330359241,-20318.758796074697,390.57100823131253,29.00938524014359
-15.989056945050073,50,0.146556500633151,0.6505931199426824,-30000.0,317.96398072732103,42.931944718865694
