# 涨落比值随温度变化结果
# 固定重子化学势: μ_B = 1001.0 MeV
T_MeV,kappa3_over_kappa1,kappa4_over_kappa2
20.0,-1.1229370090666881,-1308.4974580949554
22.0,-1.0714871781775392,-562.7852122580549
24.0,-1.0179897727207854,-245.04465359537576
25.999999999999996,-0.9633805142821834,-306.72376186035376
28.0,-0.9085109991412363,-236.7595789062576
30.0,-0.8541248049969848,-243.31919571882636
32.0,-0.8008395508434429,-221.3795023976742
34.0,-0.7491563754026256,-170.09232678933915
36.0,-0.6994498680262632,-98.84289026794373
38.0,-0.6519879466917946,-27.082355647884867
40.0,-0.6069472075407061,14.289428179257236
42.0,-0.5644219271964462,133.03157438705736
44.0,-0.5244467648297809,359.34858462236053
46.0,-0.48700359001732485,685.1500381876207
48.0,-0.45203491871407236,1151.4876282952034
49.99999999999999,-0.4194596454734257,1813.5101983186069
